,Publication Title,All Science Classification Codes (ASJC),Item Title,Publication Year,in/out,use types,census,notes
667,Journal of Transport and Health,2739; 2719; 3311; 2310; 3313; 2213; ,Urban and suburban children's experiences with school travel 鈥?A case study,2017,in,main data source for new analysis,,multi source
668,Journal of Transport Geography,2300; 3313; 3305; ,The digital matatu project: Using cell phones to create an open source data for Nairobi's semi-formal bus system,2015,in,Providing study background,,
669,Journal of Transport Geography,2300; 3313; 3305; ,A multilevel spatial interaction model of transit flows incorporating spatial and network autocorrelation,2017,in,main data source for new analysis,,
670,Journal of Transport Geography,2300; 3313; 3305; ,Examining the spatial-temporal dynamics of bus passenger travel behaviour using smart card data and the flow-comap,2014,in,main data source for new analysis,,
671,Journal of Transport Geography,2300; 3313; 3305; ,"Using spatial network analysis to model pedal cycle flows, risk and mode choice",2017,in,main data source for new analysis,,
672,Journal of Transport Geography,2300; 3313; 3305; ,Public transport accessibility in metropolitan areas: A new approach incorporating population density,2016,in,main data source for new analysis,,
673,Journal of Transport Geography,2300; 3313; 3305; ,Analysing bicycle-sharing system user destination choice preferences: Chicago's Divvy system,2015,in,main data source for new analysis,,
674,Journal of Transport Geography,2300; 3313; 3305; ,Development and application of the Pedestrian Environment Index (PEI),2014,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
675,Journal of Urban Health,2739; 3306; ,"Policing, Community Fragmentation, and Public Health: Observations from Baltimore",2016,in,"ancillary data source for new analysis (e.g., as base map)",,multi-source
676,Journal of Urban Health,2739; 3306; ,"Assessing Spatial Relationships Between Rates of Crime and Rates of Gonorrhea and Chlamydia in Chicago, 2012",2017,in,main data source for new analysis,,
677,Journal of Urban Health,2739; 3306; ,Relationship between Recreational Resources in the School Neighborhood and Changes in Fitness in New York City Public School Students,2017,in,main data source for new analysis,,
679,Journal of Urban History,3322; 3312; 1202; ,"Religion, politics, and modern culture in interwar Amsterdam",2011,in,main data source for new analysis,,
680,Journal of Urban Technology,3322; ,Playing the city: Public participation in a contested Suburban Area,2009,in,main data source for new analysis,,
681,Journal of Water and Health,2725; 2726; 2739; 2311; 2312; ,"A rapid assessment of drinking water quality in informal settlements after a cholera outbreak in Nairobi, Kenya",2015,in,Providing study background,y,
682,Journal of Water Sanitation and Hygiene for Development,2739; 2310; 2311; 2312; 3303; ,"A study of the consumption pattern in a continuous water service demonstration zone and bulk water demand forecasting for Hubli-Dharwad, India",2015,in,main data source for new analysis,,
683,Journal of Wildlife Management,2309; 2303; 1105; ,Habitat selection by female moose in the Canadian prairie ecozone,2016,in,main data source for new analysis,,
684,Kidney International,2727; ,Audit-based education lowers systolic blood pressure in chronic kidney disease: The Quality Improvement in CKD (QICKD) trial results,2013,in,"ancillary data source for new analysis (e.g., as base map)",,
685,Knowledge-Based Systems,1702; 1802; 1404; 1712; ,Traffic big data prediction and visualization using Fast Incremental Model Trees-Drift Detection (FIMT-DD),2016,in,main data source for new analysis,,
686,Knowledge-Based Systems,1702; 1802; 1404; 1712; ,"A software architecture for Twitter collection, search and geolocation services",2013,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
687,Land Degradation and Development,1111; 2300; 3303; 2304; ,Short-term Impact of Coppice Management on Soil in a Quercus ilex l. Stand of Sardinia,2017,in,Providing study background,,
688,Land Use Policy,2308; 2309; 3305; 1107; ,Landscape fragmentation in Mediterranean Europe: A comparative approach,2017,in,Providing study background,,
689,Land Use Policy,2308; 2309; 3305; 1107; ,The adaptation of urban farms to cities: The case of the Alella wine region within the Barcelona Metropolitan Region,2016,in,main data source for new analysis,,
690,Land Use Policy,2308; 2309; 3305; 1107; ,Simulating land use changes under alternative policy scenarios for conservation of native forests in south-central Chile,2016,in,aiding result interpreting,,
691,Land Use Policy,2308; 2309; 3305; 1107; ,"Land reform, land fragmentation and perspectives for future land consolidation in Estonia",2016,in,aiding result interpreting,,
692,Landscape and Urban Planning,2308; 2309; 2303; ,"Socio-spatial differentiation in the Sustainable City: A mixed-methods assessment of residential gardens in metropolitan Portland, Oregon, USA",2016,in,Providing study background,,
693,Landscape and Urban Planning,2308; 2309; 2303; ,Evaluating the relative influence on population health of domestic gardens and green space along a rural-urban gradient,2017,in,main data source for new analysis,,
694,Landscape and Urban Planning,2308; 2309; 2303; ,"Research note: Urban street tree density and antidepressant prescription rates-A cross-sectional study in London, UK",2015,in,main data source for new analysis,,
695,Landscape and Urban Planning,2308; 2309; 2303; ,A systems approach to carbon cycling and emissions modeling at an urban neighborhood scale,2013,in,main data source for new analysis,,
696,Landscape and Urban Planning,2308; 2309; 2303; ,"Habitat use by barn owls across a rural to urban gradient and an assessment of stressors including, habitat loss, rodenticide exposure and road mortality",2017,in,main data source for new analysis,,
697,Landscape and Urban Planning,2308; 2309; 2303; ,Slopeland hazard and respiratory health: The example of Typhoon Morakot in Taiwan,2017,in,main data source for new analysis,,
698,Landscape and Urban Planning,2308; 2309; 2303; ,Effects of skeletal streetscape design on perceived safety,2015,in,main data source for new analysis,,
699,Landscape Ecology,2309; 2303; 3305; ,The compositional and configurational heterogeneity of matrix habitats shape woodland carabid communities in wooded-agricultural landscapes,2016,in,aiding result interpreting,,
700,Landscape Ecology,2309; 2303; 3305; ,Grassland songbird occurrence on remnant prairie patches is primarily determined by landscape characteristics,2017,in,main data source for new analysis,,
701,Landscape Research,2308; 2309; 2300; 3305; ,From soviet to post-soviet with transformation of the fragmented urban landscape: The case of garage areas in Estonia,2010,in,others,,
702,"Language, Speech, and Hearing Services in Schools",3616; 3310; 1203; ,Parental intention to support video game play by children with autism spectrum disorder: An application of the theory of planned behavior,2015,in,Providing study background,,
703,Library Hi Tech,3309; 1710; ,Artificially intelligent conversational agents in libraries,2010,,,,
704,Life Span and Disability,3319; 3204; 3306; ,Italian and American progress toward inclusive education: Common concerns and future directions,2014,in,others,,
705,Livestock Research for Rural Development,1103; ,Small ruminant husbandry practices amongst Kajiado and Marsabit pastoralists and their effects on Peste des petits ruminants control strategies,2016,in,Providing study background,y,
706,Malaria Journal,2725; 2405; ,"A comparison of malaria prevalence, control and management strategies in irrigated and non-irrigated areas in eastern Kenya",2016,in,Providing study background,,
707,Management Science,1803; 1408; ,"A transaction-level analysis of spatial arbitrage: The role of habit, attention, and electronic trading",2012,,,,
708,Marine Policy,3308; 2308; 2002; 2300; 1104; ,Transforming shark hazard policy: Learning from ocean-users and shark encounter in Western Australia,2015,in,Providing study background,,
709,Meteorological Applications,1902; ,"Critique and suggested modifications of the degree days methodology to enable long-term electricity consumption assessments: A case study in Birmingham, UK",2015,in,"ancillary data source for new analysis (e.g., as base map)",,
710,Middle East Journal of Culture and Communication,3320; 3312; 1201; 3315; 3316; ,"Anti-Islam propaganda and its effects: Fitna, fear-Based communication and the moderating role of public debate",2014,in,"ancillary data source for new analysis (e.g., as base map)",,
711,Midwifery,2913; 2729; ,"The effectiveness of a perinatal education programme on smoking, infant care, and psychosocial health for ethnic Turkish women",2012,in,Providing study background,,
712,Movement Disorders,2728; 2808; ,Cost-utility analysis of deep brain stimulation surgery plus best medical therapy versus best medical therapy in patients with Parkinson's: Economic evaluation alongside the PD SURG trial,2016,in,main data source for new analysis,,
713,Museum International,1209; 1206; ,"Museums, Intangible Cultural Heritage, and Changing Societies: The Ber gi dala Exhibition and Cultural Heritage Preservation at the Kisumu Museum, Kenya",2016,in,Providing study background,y,
714,NAD Nordic Studies on Alcohol and Drugs,2719; 3306; ,Polarized drinking patterns and alcohol deregulation,2010,in,main data source for new analysis,,
715,Natural Hazards,1901; 1902; 2312; ,"Rapid flood inundation mapping using social media, remote sensing and topographic data",2017,in,main data source for new analysis,,
716,Natural Hazards,1901; 1902; 2312; ,The apparent paradox of exponentially distributed inter-earthquake intervals,2015,in,main data source for new analysis,,Got NOAA data from data.gov
718,Natural Hazards Review,3300; 2300; 2205; ,Land-Use Change at Temporary Group-Housing Sites in Post-Katrina Louisiana,2017,in,aiding result interpreting,,
719,Natural Hazards Review,3300; 2300; 2205; ,Case study of flood mitigation and hazard management at the Texas medical center in the wake of tropical storm Allison in 2001,2014,in,Providing study background,,
720,Nature Communications,3100; 1300; 1600; ,Contribution of Arctic seabird-colony ammonia to atmospheric particles and cloud-albedo radiative effect,2016,in,main data source for new analysis,,
721,Nature Communications,3100; 1300; 1600; ,Energy efficiency to reduce residential electricity and natural gas use under climate change,2017,in,main data source for new analysis,,multi-source
722,Nephrology Dialysis Transplantation,2747; 2727; ,Variation in centre-specific survival in patients starting renal replacement therapy in England is explained by enhanced comorbidity information from hospitalization data,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
723,Nephrology Dialysis Transplantation,2747; 2727; ,Quality achievement and disease prevalence in primary care predicts regional variation in renal replacement therapy (RRT) incidence: An ecological study,2012,in,"ancillary data source for new analysis (e.g., as base map)",,
724,Nephron - Clinical Practice,2727; 2700; ,Association of deprivation with worse outcomes in chronic kidney disease: Findings from a Hospital-Based Cohort in the United Kingdom,2012,in,"ancillary data source for new analysis (e.g., as base map)",,
725,New England Journal of Medicine,2700; ,A randomized trial comparing treatments for varicose veins,2014,in,aiding result interpreting,,
726,Nicotine and Tobacco Research,2739; ,Short-term smoking cessation in english resident adults of Bangladeshi origin: A service review,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
727,Nonprofit and Voluntary Sector Quarterly,3301; ,"Founders, Families, and Futures: Perspectives on the Accountability of Australian Private Ancillary Funds",2017,in,"ancillary data source for new analysis (e.g., as base map)",,
728,Nursing for Women's Health,2900; ,A nurse-led initiative to improve obstetricians' screening for postpartum depression,2013,in,Providing study background,,
729,Nursing Research,2900; ,Prenatal care in Oregon and Washington: Policy and utilization for vulnerable women,2015,in,main data source for new analysis,,
730,Nutrients,1106; ,Dietary B vitamins and a 10-year risk of dementia in older persons,2016,in,aiding result interpreting,,
731,Nutrients,1106; ,Nutritional adequacy of dietary intake in women with anorexia nervosa,2015,in,"ancillary data source for new analysis (e.g., as base map)",,
732,Nutrition and Cancer,1306; 2916; 2730; 2701; ,Dietary walnut suppressed mammary gland tumorigenesis in the C(3)1 TAg mouse,2011,in,Providing study background,,
734,Ocean and Coastal Management,2308; 1104; 1910; ,"Spatial vulnerability assessment of anchor damage within the Great Barrier Reef World Heritage Area, Australia",2014,in,main data source for new analysis,,
735,Ocean and Coastal Management,2308; 1104; 1910; ,Counting the cost of coastal vulnerability,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
736,Ocean and Coastal Management,2308; 1104; 1910; ,Who cares about dirty beaches? Evaluating environmental awareness and action on coastal litter in Chile,2017,in,main data source for new analysis,,
737,Oral Surgery,3504; 2746; ,Assessment of oral surgery referrals from primary care to a regional dental hospital,2014,in,aiding result interpreting,,
738,Orphanet Journal of Rare Diseases,2736; 2716; 2700; ,"Public support for neonatal screening for Pompe disease, a broad-phenotype condition",2012,in,"ancillary data source for new analysis (e.g., as base map)",,used for survey quesiton design
739,Osteoporosis International,2712; ,The impact of social deprivation on mortality following hip fracture in England and Wales: a record linkage study,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
740,Osteoporosis International,2712; ,Disparities in osteoporosis treatments,2016,in,"ancillary data source for new analysis (e.g., as base map)",y,
741,Pain,2703; 2728; 2808; ,Cost-effectiveness of different strategies to manage patients with sciatica,2014,in,main data source for new analysis,,
742,Pain,2703; 2728; 2808; ,Cardiovascular risk factors associated with the metabolic syndrome are more prevalent in people reporting chronic pain: Results from a cross-sectional general population study,2013,in,aiding result interpreting,,
743,Palliative Medicine,2703; 2700; ,Economic impact of hospitalisations among patients in the last year of life: An observational study,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
744,Parasites and Vectors,2725; 2405; ,Spatial heterogeneity in projected leprosy trends in India,2015,in,main data source for new analysis,,
745,Pastoralism,1103; ,Colonial and post-colonial changes and impact on pastoral women鈥檚 roles and status,2017,in,Providing study background,y,
746,PeerJ,1100; 1300; 2700; 2800; ,Impacts of land-use management on ecosystem services and biodiversity: An agent-based modelling approach,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
747,PeerJ,1100; 1300; 2700; 2800; ,Comparative analysis of different survey methods for monitoring fish assemblages in coastal habitats,2016,in,Providing study background,,
748,PeerJ,1100; 1300; 2700; 2800; ,"Interdisciplinary, interinstitutional and international collaboration of family medicine researchers in Taiwan",2015,in,Providing study background,,
749,Permafrost and Periglacial Processes,1904; ,Remote Sensing of Landscape Change in Permafrost Regions,2016,in,others,,part of review
750,Perspectives in Public Health,2739; ,Evaluation of Healthy Choices: A commercial weight loss programme commissioned by the NHS,2011,in,"ancillary data source for new analysis (e.g., as base map)",,
751,Pharmacoepidemiology and Drug Safety,2736; 2713; ,Immeasurable time bias due to hospitalization in medico-administrative databases: which impact for pharmacoepidemiological studies?,2017,in,aiding result interpreting,,
752,Physica A: Statistical Mechanics and its Applications,3104; 2613; ,Evolving networks - Using past structure to predict the future,2016,in,main data source for new analysis,,
753,Physical Communication,2208; ,What will interference be like in 5G HetNets?,2016,in,main data source for new analysis,,
755,Physiology and Behavior,2802; 3205; ,Intrinsic and extrinsic influences on children's acceptance of new foods,2013,in,Providing study background,,
756,Plant Ecology and Evolution,1110; ,"Circular distribution of three species of epiphytic orchids in shade coffee plantations, in Soconusco, Chiapas, Mexico",2016,in,Providing study background,,
757,PLoS Medicine,2700; ,"10-y Risks of Death and Emergency Re-admission in Adolescents Hospitalised with Violent, Drug- or Alcohol-Related, or Self-Inflicted Injury: A Population-Based Cohort Study",2015,in,"ancillary data source for new analysis (e.g., as base map)",,
758,PLoS ONE,1100; 1300; 2700; ,"Characteristics of human - Sloth bear (Melursus ursinus) encounters and the resulting human casualties in the Kanha-Pench corridor, Madhya Pradesh, India",2017,in,"ancillary data source for new analysis (e.g., as base map)",,
759,PLoS ONE,1100; 1300; 2700; ,"Wild versus domestic prey in the diet of reintroduced tigers (Panthera tigris) in the livestock-dominated multiple-use forests of Panna Tiger Reserve, India",2017,in,Providing study background,,
760,PLoS ONE,1100; 1300; 2700; ,"Kericho CLinic-based ART Diagnostic Evaluation (CLADE): Design, accrual, and baseline characteristics of a randomized controlled trial conducted in predominately rural, district-level, HIV Clinics of Kenya",2015,in,"ancillary data source for new analysis (e.g., as base map)",,multi-source
761,PLoS ONE,1100; 1300; 2700; ,Disaggregating census data for population mapping using Random forests with remotely-sensed and ancillary data,2015,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
762,PLoS ONE,1100; 1300; 2700; ,A Qualitative Evaluation of Hand Drying Practices among Kenyans,2013,in,Providing study background,,
763,PLoS ONE,1100; 1300; 2700; ,Spatial distribution of bednet coverage under routine distribution through the public health sector in a rural district in kenya,2011,in,aiding result interpreting,,
764,PLoS ONE,1100; 1300; 2700; ,Sharp-tailed grouse nest survival and nest predator habitat use in North Dakota's Bakken oil field,2017,in,main data source for new analysis,,funded by nd.gov/gis
765,PLoS ONE,1100; 1300; 2700; ,Psychological distress in the hospital setting: A comparison between native Dutch and immigrant patients,2015,in,Providing study background,,
766,PLoS ONE,1100; 1300; 2700; ,Differences in Body Fat Distribution Play a Role in the Lower Levels of Elevated Fasting Glucose amongst Ghanaian Migrant Women Compared to Men,2013,in,Providing study background,,
767,PLoS ONE,1100; 1300; 2700; ,Modelling seasonal habitat suitability for Wide-Ranging Species: Invasive wild pigs in northern Australia,2017,in,Providing study background,,
768,PLoS ONE,1100; 1300; 2700; ,"Babesiosis occurrence among the elderly in the United States, as recorded in large medicare databases during 2006-2013",2015,in,aiding result interpreting,,
769,PLoS ONE,1100; 1300; 2700; ,Bubbles are departures from equilibrium housing markets: Evidence from Singapore and Taiwan,2016,in,main data source for new analysis,,
770,PLoS ONE,1100; 1300; 2700; ,The future of the London buy-to-let property market: Simulation with temporal Bayesian networks,2017,in,main data source for new analysis,,
771,PLoS ONE,1100; 1300; 2700; ,Surface reflectance drives nest box temperature profiles and thermal suitability for target wildlife,2017,in,"ancillary data source for new analysis (e.g., as base map)",,
772,PLoS ONE,1100; 1300; 2700; ,Analysis of diagnoses extracted from Electronic health records in a large mental health Case Register,2017,in,"ancillary data source for new analysis (e.g., as base map)",y,
773,PLoS ONE,1100; 1300; 2700; ,"Economic cost of campylobacter, norovirus and rotavirus disease in the United Kingdom",2016,in,main data source for new analysis,,
774,PLoS ONE,1100; 1300; 2700; ,Research activity and the association with mortality,2015,in,main data source for new analysis,,
775,PLoS ONE,1100; 1300; 2700; ,"Intra- and inter-pandemic variations of antiviral, antibiotics and decongestants in wastewater treatment plants and receiving rivers",2014,in,main data source for new analysis,,
776,PLoS ONE,1100; 1300; 2700; ,Waist-to-height ratio is more predictive of years of life lost than body mass index,2014,in,main data source for new analysis,,
777,PLoS ONE,1100; 1300; 2700; ,The contribution of social networks to the health and self-management of patients with long-term conditions: A longitudinal study,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
778,PLoS ONE,1100; 1300; 2700; ,Prevalence of Chronic Conditions in Australia,2013,in,Providing study background,,
779,PLoS ONE,1100; 1300; 2700; ,Access to Recreational Physical Activities by Car and Bus: An Assessment of Socio-Spatial Inequalities in Mainland Scotland,2013,in,main data source for new analysis,,
780,PLoS ONE,1100; 1300; 2700; ,Measuring spatial accessibility of health care providers-introduction of a variable distance decay function within the floating catchment area (FCA) method,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
781,PLoS ONE,1100; 1300; 2700; ,A self-affirmation exercise does not improve intentions to vaccinate among parents with negative vaccine attitudes (and may decrease intentions to vaccinate),2017,in,Providing study background,,
782,PLoS ONE,1100; 1300; 2700; ,Ice-cover is the principal driver of ecological change in High Arctic lakes and ponds,2017,in,"ancillary data source for new analysis (e.g., as base map)",,
783,PLoS ONE,1100; 1300; 2700; ,Location is everything: Evaluating the effects of terrestrial and marine resource subsidies on an estuarine bivalve,2015,in,main data source for new analysis,,
784,PLoS ONE,1100; 1300; 2700; ,Tactical voting in plurality elections,2010,in,main data source for new analysis,,
785,PLoS ONE,1100; 1300; 2700; ,"HIV prevalence and gender differences among new injection-drug-users in Tallinn, Estonia: A persisting problem in a stable high prevalence epidemic",2017,in,Providing study background,,
786,PLoS ONE,1100; 1300; 2700; ,Serological evidence of exposure to globally relevant zoonotic parasites in the Estonian population,2016,in,Providing study background,,
787,PLoS ONE,1100; 1300; 2700; ,"Ascertaining the impact of catastrophic events on dengue outbreak: The 2014 gas explosions in Kaohsiung, Taiwan",2017,in,main data source for new analysis,,
788,PLoS ONE,1100; 1300; 2700; ,"Year-round monitoring of contaminants in Neal and Rogers Creeks, Hood River basin, Oregon, 2011-12, and assessment of risks to salmonids",2016,in,Providing study background,,
790,Police Practice and Research,3308; 3301; ,Predictive crime mapping,2015,in,main data source for new analysis,,multi-source
792,Political Geography,3312; 1202; 3305; ,"On exposure, vulnerability and violence: Spatial distribution of risk factors for climate change and violent conflict across Kenya and Uganda",2014,in,main data source for new analysis,,
793,Politics and Policy,3320; 3312; ,China's Solution to Global Cyber Governance: Unpacking the Domestic Discourse of 鈥淚nternet Sovereignty鈥?2017,2017,in,others,,
794,Population Health Metrics,2739; 2713; ,The County Health Rankings: rationale and methods,2015,in,main data source for new analysis,,
795,Population Studies,1202; 3317; ,"The gap between births intended and births achieved in 22 European countries, 2004鈥?7",2014,in,aiding result interpreting,,
797,"Population, Space and Place",3305; 3317; ,Ethnic differences in spatial mobility: The impact of family ties,2009,in,main data source for new analysis,,
798,Post-Communist Economies,2002; ,Changes in pension take-up and retirement in the context of increasing the pension age: the case of Estonia in the 2000s,2015,in,aiding result interpreting,,
800,Precambrian Research,1906; 1907; ,"Western Paran谩 suture/shear zone and the limits of Rio Apa, Rio Tebicuary and Rio de la Plata cratons from gravity data",2017,in,"ancillary data source for new analysis (e.g., as base map)",,
801,Preventing Chronic Disease,2739; 2719; ,"A comparison of depression and mental distress indicators, Rhode Island behavioral risk factor surveillance system, 2006",2011,in,main data source for new analysis,,
802,Preventing Chronic Disease,2739; 2719; ,"Identifying populations at high risk for diabetes with the behavioral risk factor surveillance system, Rhode Island, 2003",2010,in,main data source for new analysis,,
803,Preventing Chronic Disease,2739; 2719; ,"Screening for food insecurity in six veterans administration clinics for the homeless, june-december 2015",2017,in,main data source for new analysis,,
804,Preventive Medicine Reports,2739; 2718; ,"Check the score: Field validation of Street Smart Walk Score in Alberta, Canada",2016,in,"ancillary data source for new analysis (e.g., as base map)",,
805,Preventive Veterinary Medicine,1103; 3403; ,Indigenous knowledge of pastoralists on respiratory diseases of camels in northern Kenya,2016,in,Providing study background,y,
806,Proceedings of the Institution of Civil Engineers: Transport,3313; 2205; ,Non-stationary concept of accident prediction,2017,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
807,"Proceedings of the Institution of Mechanical Engineers, Part C: Journal of Mechanical Engineering Science",2210; ,Relationship between heavy vehicle speed limit and fleet fuel consumption on minor roads,2016,in,"used for result evaluation (e.g., as ground truth)",,
808,"Proceedings of the Institution of Mechanical Engineers, Part C: Journal of Mechanical Engineering Science",2210; ,Effects of longer heavy vehicles on traffic congestion,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
809,Proceedings of the Royal Society of Queensland,1100; 2300; ,"Mapping regional groundwater chemistry zones in the Fitzroy Basin, using statistical and conceptual methods",2013,in,main data source for new analysis,,
810,Professional Geographer,1904; 3305; ,"Evaluating the Accuracy and Effectiveness of Criminal Geographic Profiling Methods: The Case of Dandora, Kenya",2015,in,Providing study background,,
811,Prosthetics and Orthotics International,2742; 3601; ,A randomised controlled trial of laser scanning and casting for the construction of ankle-foot orthoses,2016,in,main data source for new analysis,,
812,"Psychology, Health and Medicine",2738; 3202; 3203; ,An evaluation of the choices for well-being project,2014,in,aiding result interpreting,,
813,Public Administration,3321; 3312; ,Regulation as social policy: Home evictions and repossessions in the Uk and Sweden,2015,in,main data source for new analysis,,
815,Public Health Nutrition,2739; 2916; 2701; ,"Differences in expenditure and amounts of fresh foods, fruits and vegetables, and fish purchased in urban and rural Scotland",2017,in,aiding result interpreting,,
816,Public Health Nutrition,2739; 2916; 2701; ,Ethnic differences in dietary intake at age 12 and 18 months: The Born in Bradford 1000 Study,2016,in,aiding result interpreting,,
817,Public Health Nutrition,2739; 2916; 2701; ,Modelling fortification of corn masa flour with folic acid and the potential impact on Mexican-American women with lower acculturation,2013,in,aiding result interpreting,y,
818,Public Health Reports,2739; ,A model of shared mycobacteriology testing services: Lessons learned,2015,in,Providing study background,,
819,Public Health Reports,2739; ,"HIV-1 infection and transmission networks of younger people in Chicago, Illinois, 2005-2011",2017,in,Providing study background,y,
820,Public Health Reports,2739; ,"Change in population characteristics and teen birth rates in 77 community areas: Chicago, Illinois, 1999鈥?009",2015,in,main data source for new analysis,,multi-sources
821,Public Relations Review,1406; 1407; 3315; ,Terrorism threat in Belgium: The resilience of Belgian citizens and the protection of governmental reputation by means of communication,2017,in,Providing study background,,
823,Pulmonary Medicine,2740; 2700; ,Delineating a retesting zone using receiver operating characteristic analysis on serial quantiFERON tuberculosis test results in US healthcare workers,2012,in,Providing study background,,
824,Pure and Applied Geophysics,1906; 1908; ,Field Survey Following the 28 October 2012 Haida Gwaii Tsunami,2014,in,main data source for new analysis,,multi-source
826,Qualitative Health Research,2739; ,Photovoice in Kenya: Using a Community-Based Participatory Research Method to Identify Health Needs,2016,in,Providing study background,,
827,Qualitative Health Research,2739; ,Addressing Underrepresentation in Sex Work Research,2015,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
829,Quality of Life Research,2739; ,Patient-reported outcome measures in older people with hip fracture: a systematic review of quality and acceptability,2017,in,Providing study background,,
830,Rangeland Ecology and Management,2308; 2309; 1103; 2303; ,Greater sage-grouse resource selection drives reproductive fitness under a conifer removal strategy,2017,in,main data source for new analysis,,
831,Reading Teacher,2736; 3310; 3004; 1203; ,Reading comprehension and autism in the primary general education classroom,2015,in,Providing study background,,
832,Reference Services Review,3309; ,Small business development centers and libraries: A survey,2015,in,Providing study background,,appear in lit review
833,Refuge,3316; 3317; ,The indochinese refugee movement and the subsequent evolution of UNHCR and canadian resettlement selection policies and practices,2016,in,others,,
834,Regional Environmental Change,2306; ,Intra-annual dynamics of water stress in the central Indian Highlands from 2002 to 2012,2016,in,main data source for new analysis,,
835,Regional Environmental Change,2306; ,"Uncovering blind spots in urban carbon management: the role of consumption-based carbon accounting in Bristol, UK",2017,in,main data source for new analysis,,
836,Regional Science and Urban Economics,3322; 2002; ,Does public transit spread crime? Evidence from temporary rail station closures,2015,in,main data source for new analysis,,
837,Regulation and Governance,3308; 3321; 3312; ,Regulatory dynamism of environmental mobilization in urban China,2016,in,Providing study background,,
838,Rehabilitation Psychology,2738; 3203; 2742; 3612; ,"Biopsychosocial law, health care reform, and the control of medical inflation in Colorado",2012,in,aiding result interpreting,,
839,Reliability Engineering and System Safety,2209; 2213; ,Hazard tolerance of spatially distributed complex networks,2017,in,main data source for new analysis,,
840,Remote Sensing,1900; ,Exploring long term spatial vegetation trends in Taiwan from AVHRR NDVI3g dataset using RDA and HCA analyses,2016,in,Providing study background,,
841,Remote Sensing Applications: Society and Environment,1903; 3305; ,"Land use and land cover (LULC) changes in semi-arid sub-watersheds of Laikipia and Athi River basins, Kenya, as influenced by expanding intensive commercial horticulture",2016,in,main data source for new analysis,y,
842,Renaissance Studies,1208; 1212; 1213; 1202; 3316; ,"A man of curious enquiry': John Peyton's Grand Tour to central Europe and Robert Cecil's intelligence network, 1596-1601",2015,in,others,,
843,Renewable and Sustainable Energy Reviews,2105; ,Small hydro power in India: Current status and future perspectives,2015,in,main data source for new analysis,,
844,Renewable and Sustainable Energy Reviews,2105; ,"Small hydropower financing in China: External environment analyses, financing modes and problems with solutions",2015,in,others,,
845,Renewable and Sustainable Energy Reviews,2105; ,Financial sustainability of wind electricity sectors in the Baltic States,2015,in,Providing study background,,
846,Renewable Energy,2105; ,"Assessment and mapping of the shallow geothermal potential in the province of Cuneo (Piedmont, NW Italy)",2017,in,main data source for new analysis,,
847,Renewable Energy,2105; ,A multi-stage Smart Energy Management System under multiple uncertainties: A data mining approach,2017,in,main data source for new analysis,,
848,Research in Transportation Economics,2001; 3313; ,Accessibility and equity: An approach for wider transport project assessment in Chile,2016,in,main data source for new analysis,,
849,Resources Policy,3308; 2308; 2002; 3312; ,The United Kingdom Ministry of Defence and the European Union's electrical and electronic equipment directives,2016,in,Providing study background,,
850,Review of Industrial Organization,1405; 1407; 1408; 2002; ,This Time is Different (?): Telecommunications Unbundling and Lessons for Railroad Regulation,2016,in,others,,
851,Revista Arvore,1107; ,"Geoprocessing applied to risk assessment of forest fires in the municipality of bodoquena, mato grosso do sul ",2016,in,main data source for new analysis,,
852,Revista Brasileira de Saude Materno Infantil,2739; 2729; 2735; ,"Feeding children in a favela in Rio de Janeiro, Brazil: How much is spent and what would be the cost of a healthy diet? [Alimenta莽茫o de crian莽as em uma favela no Rio de Janeiro, Brasil: Quanto se gasta e qual seria o custo de uma dieta saud谩vel]",2015,in,"ancillary data source for new analysis (e.g., as base map)",,
853,Round Table,3305; ,"Religious Fundamentalism, Constitution-making and Democracy in Kenya: The Kadhis Courts Debate",2012,in,Providing study background,,
854,RUSI Journal,3320; ,Proxy warfare and the future of conflict,2013,in,others,,
855,SAE Technical Papers,2209; 2310; 2213; 2203; ,Behaviour of car drivers in accidents used to estimate the benefit of car antilock brake system on indian highways,2015,in,Providing study background,,OGD used as main source are not covered by search string
856,Safety Science,2739; 3311; 2213; ,Self Explaining Roads and situation awareness,2013,in,Providing study background,,
857,Safety Science,2739; 3311; 2213; ,Risk assessment of occupational injuries using Accident Severity Grade,2015,in,main data source for new analysis,,
858,Scandinavian Journal of Public Health,2739; 2700; ,Breastfeeding and introduction of complementary food in Danish infants,2015,in,aiding result interpreting,,
