Item Title,Publication Year,Publication Title,in/out,use types,census,notes,,,,,,,,,,,,,,,
"It's not for us': Regeneration, the 2012 Olympics and the gentrification of East London",2013,City,in,others,,,,,,,,,,,,,,,,,
Does an intensive self-management structured education course improve outcomes for children and young people with type 1 diabetes? The Kids In Control OF Food (KICk-OFF) clusterrandomised controlled trial protocol,2013,BMJ Open,in,Providing study background,,,,,,,,,,,,,,,,,
Access to Recreational Physical Activities by Car and Bus: An Assessment of Socio-Spatial Inequalities in Mainland Scotland,2013,PLoS ONE,in,main data source for new analysis,,,,,,,,,,,,,,,,,
A systems approach to carbon cycling and emissions modeling at an urban neighborhood scale,2013,Landscape and Urban Planning,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Evaluating the cost-effectiveness of laparoscopic adjustable gastric banding versus standard medical management in obese patients with type 2 diabetes in the UK,2013,"Diabetes, Obesity and Metabolism",in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Comparative study of energy consumption and CO2 emissions between Beijing and London,2013,Frontiers in Energy,in,others,,use OGD to support a claim,,,,,,,,,,,,,,,
"A software architecture for Twitter collection, search and geolocation services",2013,Knowledge-Based Systems,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
Global and local impacts of UK renewable energy policy,2013,Energy and Environmental Science,in,others,,,,,,,,,,,,,,,,,
Cardiovascular risk factors associated with the metabolic syndrome are more prevalent in people reporting chronic pain: Results from a cross-sectional general population study,2013,Pain,in,aiding result interpreting,,,,,,,,,,,,,,,,,
How Has the Economic Downturn Affected Communities and Implementation of Science-Based Prevention in the Randomized Trial of Communities That Care?,2013,American Journal of Community Psychology,in,main data source for new analysis,,"multi-source, but mostly outside search terms",,,,,,,,,,,,,,,
Analysis of user mobility data sources for multi-user context modeling,2012,GEOCROWD 2012 - Proceedings of the 1st ACM SIGSPATIAL International Workshop on Crowdsourced and Volunteered Geographic Information,in,others,,,,,,,,,,,,,,,,,
Characteristics of general practices associated with numbers of elective admissions,2012,Journal of Public Health (United Kingdom),in,aiding result interpreting,,,,,,,,,,,,,,,,,
Generating interesting Monopoly boards from open data,2012,"2012 IEEE Conference on Computational Intelligence and Games, CIG 2012",in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
Premature death after self-harm: A multicentre cohort study,2012,The Lancet,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Data sharing for prevention: A case study in the development of a comprehensive emergency department injury surveillance system and its use in preventing violence and alcohol-related harms,2012,Injury Prevention,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Developing teenagers' views on their health and the health of their future children,2012,Health Education,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Cost effectiveness of epidural steroid injections to manage chronic lower back pain,2012,BMC Anesthesiology,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Most older pedestrians are unable to cross the road in time: A cross-sectional study,2012,Age and Ageing,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Social sensing in the field: Challenges in detecting social interactions in construction sites,2012,MCSS'12 - Proceedings of the 1st ACM Workshop on Mobile Systems for Computational Social Science,in,Providing study background,,,,,,,,,,,,,,,,,
Sociospatial distribution of access to facilities for moderate and vigorous intensity physical activity in Scotland by different modes of transport,2012,International Journal of Behavioral Nutrition and Physical Activity,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Diagnosis-related groups in hand surgery - A comparison of six european countries [Fallpauschalen in der handchirurgie - Ein vergleich von sechs europ盲ischen l盲ndern],2012,GMS German Medical Science,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Multidisciplinary team working across different tumour types: Analysis of a national survey,2012,Annals of Oncology,in,Providing study background,,,,,,,,,,,,,,,,,
Association of deprivation with worse outcomes in chronic kidney disease: Findings from a Hospital-Based Cohort in the United Kingdom,2012,Nephron - Clinical Practice,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
The medical and dental attendance pattern of patients attending general dental practices in Warwickshire and their general health risk assessment,2012,British Dental Journal,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Effect of offering different levels of support and free nicotine replacement therapy via an English national telephone quitline: Randomised controlled trial,2012,BMJ (Online),in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Angiotensin receptor blockers and risk of cancer: Cohort study among people receiving antihypertensive drugs in UK General Practice Research Database,2012,BMJ (Online),in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
The cost of managing genital warts in the UK,2012,International Journal of STD and AIDS,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Regional performance and inequality: Linking economic and social development through a capabilities approach,2012,"Cambridge Journal of Regions, Economy and Society",in,main data source for new analysis,,multi-source,,,,,,,,,,,,,,,
Modelled impacts of badger culling on cattle TB in a real area with geographic boundaries,2012,Veterinary Record,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
Quality achievement and disease prevalence in primary care predicts regional variation in renal replacement therapy (RRT) incidence: An ecological study,2012,Nephrology Dialysis Transplantation,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"When is a ""free"" registrar in clinic not free?",2011,BMJ (Online),in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
A software system for data mining with twitter,2011,"Proceedings of 2011, 10th IEEE International Conference on Cybernetic Intelligent Systems, CIS 2011",in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
"Using routine data to conduct small area health needs assessment through observing trends in Demographics, recording of common mental health problems (CMHPs) and sickness certificates: Longitudinal analysis of a northern and London locality",2011,Informatics in Primary Care,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Detecting referral and selection bias by the anonymous linkage of practice, hospital and clinic data using Secure and Private Record Linkage (SAPREL): Case study from the evaluation of the Improved Access to Psychological Therapy (IAPT) service",2011,BMC Medical Informatics and Decision Making,in,"ancillary data source for new analysis (e.g., as base map)",,multi-source,,,,,,,,,,,,,,,
The impact of genital warts: Loss of quality of life and cost of treatment in eight sexual health clinics in the UK,2011,Sexually Transmitted Infections,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Development of the RESTful JPIC SDK for the application using public information,2011,"Proceedings - 9th IEEE International Symposium on Parallel and Distributed Processing with Applications Workshops, ISPAW 2011 - ICASE 2011, SGH 2011, GSDP 2011",in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
"Generalisability of the Health Improvement Network (THIN) database: Demographics, chronic disease prevalence and mortality rates",2011,Informatics in Primary Care,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Evaluation of Healthy Choices: A commercial weight loss programme commissioned by the NHS,2011,Perspectives in Public Health,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Impact on mortality and cancer incidence rates of using random invitation from population registers for recruitment to trials,2011,Trials,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Polarized drinking patterns and alcohol deregulation,2010,NAD Nordic Studies on Alcohol and Drugs,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Evaluation of a system of structured, pro-active care for chronic depression in primary care: A randomised controlled trial",2010,BMC Psychiatry,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Prenatal care in Oregon and Washington: Policy and utilization for vulnerable women,2015,Nursing Research,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Identifying policy solutions for improving the energy efficiency of rental properties,2017,Energy Policy,in,aiding result interpreting,,,,,,,,,,,,,,,,,
"Founders, Families, and Futures: Perspectives on the Accountability of Australian Private Ancillary Funds",2017,Nonprofit and Voluntary Sector Quarterly,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Optimal consumption, investment and housing with means-tested public pension in retirement",2017,Insurance: Mathematics and Economics,in,Providing study background,,,,,,,,,,,,,,,,,
On Supporting Contract-Aware IoT Dataspace Services,2017,"Proceedings - 5th IEEE International Conference on Mobile Cloud Computing, Services, and Engineering, MobileCloud 2017",in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
Hepatitis E virus infections in travellers: Assessing the threat to the Australian blood supply,2017,Blood Transfusion,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Spatio-temporal modelling of lightning climatologies for complex terrain,2017,Natural Hazards and Earth System Sciences,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Using Machine Learning to Accelerate Data Wrangling,2017,"IEEE International Conference on Data Mining Workshops, ICDMW",in,Providing study background,,,,,,,,,,,,,,,,,
Regerator: A registry generator for blockchain,2017,CEUR Workshop Proceedings,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Multimodal learning and inference from visual and remotely sensed data,2017,International Journal of Robotics Research,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Gender Issues in an Ageing Society,2016,Australian Economic Review,in,others,,,,,,,,,,,,,,,,,
How does our natural and built environment affect the use of bicycle sharing?,2016,Transportation Research Part A: Policy and Practice,in,main data source for new analysis,,multi-source,,,,,,,,,,,,,,,
A novel approach in household electricity consumption forecasting,2016,Canadian Conference on Electrical and Computer Engineering,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
An introduction to the Australian and New Zealand flux tower network - OzFlux,2016,Biogeosciences,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Discrete-event simulation framework tor developing methods for low voltage network observability enhancement,2016,"2016 2nd International Conference on Event-Based Control, Communication, and Signal Processing, EBCCSP 2016 - Proceedings",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
"Source, variability, and transformation of nitrate in a regional karst aquifer: Edwards aquifer, central Texas",2016,Science of the Total Environment,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Agricultural policy in Australia: deregulation, bipartisanship and agrarian sentiment",2016,Australian Journal of Political Science,in,others,,,,,,,,,,,,,,,,,
Identifying model consistency through stepwise calibration to capture streamflow variability,2016,Environmental Modelling and Software,in,Providing study background,,,,,,,,,,,,,,,,,
Incorporating species losses and gains into a fish-based index for stream bioassessment increases the detection of anthropogenic disturbances,2016,Ecological Indicators,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Deep exploration of multidimensional data with linkable scatterplots,2016,ACM International Conference Proceeding Series,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Energy management of PV-storage systems: ADP approach with temporal difference learning,2016,"19th Power Systems Computation Conference, PSCC 2016",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Secure and privacy-aware proxy mobile IPv6 protocol for vehicle-to-grid networks,2016,"2016 IEEE International Conference on Communications, ICC 2016",in,Providing study background,,,,,,,,,,,,,,,,,
Current estimates of biogenic emissions from eucalypts uncertain for southeast Australia,2016,Atmospheric Chemistry and Physics,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Extracting usage patterns from power usage data of homes' appliances in smart home using big data platform,2016,International Journal of Information Technology and Web Engineering,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Interactive effects of urban stormwater drainage, land clearance, and flow regime on stream macroinvertebrate assemblages across a large metropolitan region",2016,Freshwater Science,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Exploring media transparency with multiple views,2016,CEUR Workshop Proceedings,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
The case study of an Australian crime dataset,2016,CEUR Workshop Proceedings,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Policing welfare: Risk, gender and criminality",2016,"International Journal for Crime, Justice and Social Democracy",in,others,,,,,,,,,,,,,,,,,
Developing a model to assess community level risk of oral diseases for planning public dental services in Australia,2016,BMC Oral Health,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Enabling SDMX-based retrieval and spatio-statistical analysis of national census and related datasets,2015,"Proceedings - 11th IEEE International Conference on eScience, eScience 2015",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Building an open data visualisation web app using a data server: The styrian diversity visualisation project,2015,ACM International Conference Proceeding Series,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,data actually used  not in search data,,,,,,,,,,,,,,,
A parallel tabu search algorithm with solution space partition for cohesive clustering problems,2015,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
"The Concept of 'Merit' in Australia, China and Taiwan",2015,Australian Journal of Public Administration,in,others,,may not be a research article.,,,,,,,,,,,,,,,
Technologies and standards in the information systems of the soil-geographic database of Russia,2015,Eurasian Soil Science,in,Providing study background,,,,,,,,,,,,,,,,,
"Horizontal stress anisotropy and effective stress as regulator of coal seam gas zonation in the Sydney Basin, Australia",2014,International Journal of Coal Geology,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Analysis of two crime-related networks derived from bipartite social networks,2014,ASONAM 2014 - Proceedings of the 2014 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Sensor search techniques for sensing as a service architecture for the internet of things,2014,IEEE Sensors Journal,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,"Bureau of Meteorology, (2012).
Experimental Environmental Linked-Data Published by the
Bureau of Meteorology, Melbourne, Australia [Online]. Available:
http://lab.environment.data.gov.au/",,,,,,,,,,,,,,,
"Context-aware sensor search, selection and ranking model for internet of things middleware",2013,Proceedings - IEEE International Conference on Mobile Data Management,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,"Bureau of Meteorology, (2012).
Experimental Environmental Linked-Data Published by the
Bureau of Meteorology, Melbourne, Australia [Online]. Available:
http://lab.environment.data.gov.au/",,,,,,,,,,,,,,,
Streetscape skeleton measurement and classification,2017,Environment and Planning B: Urban Analytics and City Science,in,main data source for new analysis,,multi-source,,,,,,,,,,,,,,,
Horizontal Immobility: How Narratives of Neighborhood Violence Shape Housing Decisions,2017,American Sociological Review,in,others,,notes in a review,,,,,,,,,,,,,,,
"Consumer willingness to pay for dengue vaccine (CYD-TDV, Dengvaxia庐) in Brazil; implications for future pricing considerations",2017,Frontiers in Pharmacology,in,Providing study background,,,,,,,,,,,,,,,,,
Analysis of mobile user behavior in vehicular social networks,2017,"2016 7th International Conference on the Network of the Future, NOF 2016",in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Spatial distribution of forest biomass in Brazil's state of Roraima, northern Amazonia",2016,Forest Ecology and Management,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Estimating urban mobility with open data: A case study in Bologna,2016,"IEEE 2nd International Smart Cities Conference: Improving the Citizens Quality of Life, ISC2 2016 - Proceedings",in,main data source for new analysis,,,,,,,,,,,,,,,,,
Measuring spatial accessibility of health care providers-introduction of a variable distance decay function within the floating catchment area (FCA) method,2016,PLoS ONE,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Autonomous-Vehicle Public Transportation System: Scheduling and Admission Control,2016,IEEE Transactions on Intelligent Transportation Systems,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
"Policing, Community Fragmentation, and Public Health: Observations from Baltimore",2016,Journal of Urban Health,in,"ancillary data source for new analysis (e.g., as base map)",,multi-source,,,,,,,,,,,,,,,
The culture of patient safety from the perspective of the pediatric emergency nursing team,2016,Revista da Escola de Enfermagem,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Geoprocessing applied to risk assessment of forest fires in the municipality of bodoquena, mato grosso do sul ",2016,Revista Arvore,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Geospatial assessment of potential bioenergy crop production on urban marginal land,2015,Applied Energy,in,main data source for new analysis,,multi-source,,,,,,,,,,,,,,,
"Feeding children in a favela in Rio de Janeiro, Brazil: How much is spent and what would be the cost of a healthy diet? [Alimenta莽茫o de crian莽as em uma favela no Rio de Janeiro, Brasil: Quanto se gasta e qual seria o custo de uma dieta saud谩vel]",2015,Revista Brasileira de Saude Materno Infantil,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Data and analytics for neighborhood development: Smart shrinkage decision modeling in Baltimore, Maryland",2015,Lecture Notes in Geoinformation and Cartography,in,Providing study background,,,,,,,,,,,,,,,,,
Volume per capita as a useful measure of residential space,2015,Urban Geography,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Guiding school-choice reform through novel applications of operations research,2015,Interfaces,in,Providing study background,,,,,,,,,,,,,,,,,
Fostering diverse friendships: The role of beliefs about the value of diversity,2015,Group Processes and Intergroup Relations,in,main data source for new analysis,y,,,,,,,,,,,,,,,,
Market liberalization and innovation in the energy sector: The case of Belgium and the Netherlands,2015,Halduskultuur,in,others,,,,,,,,,,,,,,,,,
The Wire as speculative research,2014,Architectural Research Quarterly,in,others,,,,,,,,,,,,,,,,,
Direct private query in location-based services with GPU run time analysis,2014,Journal of Supercomputing,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
MoveSafe: A framework for transportation mode-based targeted alerting in disaster response,2013,GEOCROWD 2013 - Proceedings of the 2nd ACM SIGSPATIAL International Workshop on Crowdsourced and Volunteered Geographic Information,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
"Strong geologic methane emissions from discontinuous terrestrial permafrost in the Mackenzie Delta, Canada",2017,Scientific Reports,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Habitat use by barn owls across a rural to urban gradient and an assessment of stressors including, habitat loss, rodenticide exposure and road mortality",2017,Landscape and Urban Planning,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Maternal depression in Syrian refugee women recently moved to Canada: A preliminary study,2017,BMC Pregnancy and Childbirth,in,Providing study background,,,,,,,,,,,,,,,,,
A self-affirmation exercise does not improve intentions to vaccinate among parents with negative vaccine attitudes (and may decrease intentions to vaccinate),2017,PLoS ONE,in,Providing study background,,,,,,,,,,,,,,,,,
Intrapopulation diversity in isotopic niche over landscapes: Spatial patterns inform conservation of bear鈥搒almon systems,2017,Ecosphere,in,Providing study background,,mutli-source,,,,,,,,,,,,,,,
China's Solution to Global Cyber Governance: Unpacking the Domestic Discourse of 鈥淚nternet Sovereignty鈥?2017,Politics and Policy,45,in,others,,,,,,,,,,,,,,,,,
Caught between a rock and a hard place: mental health of migrant live-in caregivers in Canada,2017,BMC Public Health,in,Providing study background,,,,,,,,,,,,,,,,,
"Fifty-year spatiotemporal analysis of landscape changes in the Mont Saint-Hilaire UNESCO Biosphere Reserve (Quebec, Canada)",2017,Environmental Monitoring and Assessment,in,Providing study background,,,,,,,,,,,,,,,,,
Inter-comparison of daily precipitation products for large-scale hydro-climatic applications over Canada,2017,Hydrology and Earth System Sciences,in,"used for result evaluation (e.g., as ground truth)",,mutli-source,,,,,,,,,,,,,,,
Valuation of fish production services in river basins: A case study of the Columbia River,2017,Ecosystem Services,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Collision analysis of driving scenarios,2017,"2017 IEEE 7th Annual Computing and Communication Workshop and Conference, CCWC 2017",in,main data source for new analysis,,,,,,,,,,,,,,,,,
Using the CSM-CERES-Maize model to assess the gap between actual and potential yields of grain maize,2017,Journal of Agricultural Science,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Ice-cover is the principal driver of ecological change in High Arctic lakes and ponds,2017,PLoS ONE,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Spatially varying constraints of human-caused fire occurrence in British Columbia, Canada",2017,International Journal of Wildland Fire,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Habitat associations with counts of declining Western Grebes in Alberta, Canada [Associations entre l'habitat et les d茅nombrements de Gr猫be 茅l茅gant, une esp猫ce en diminution en Alberta, Canada]",2017,Avian Conservation and Ecology,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Potential conflict between future development of natural resources and high-value wildlife habitats in boreal landscapes,2016,Biodiversity and Conservation,in,main data source for new analysis,,,,,,,,,,,,,,,,,
A tessellation-based methodology for an interactive analysis of the arctic ice dynamic phenomenon with spatial online analytical processing,2016,Cartographica,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
"Predicting tuberculosis risk in the foreign-born population of British Columbia, Canada: Study protocol for a retrospective population-based cohort study",2016,BMJ Open,in,Providing study background,,,,,,,,,,,,,,,,,
Reproductive success of songbirds and waterfowl in native mixed-grass pasture and planted grasslands used for pasture and hay,2016,Condor,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
This Time is Different (?): Telecommunications Unbundling and Lessons for Railroad Regulation,2016,Review of Industrial Organization,in,others,,,,,,,,,,,,,,,,,
Habitat selection by female moose in the Canadian prairie ecozone,2016,Journal of Wildlife Management,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Stratigraphic evolution of a long-lived submarine channel system in the Late Cretaceous Nanaimo Group, British Columbia, Canada",2016,Sedimentary Geology,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Assessing effects of climatic change, region and agronomic practices on leaf spotting of bread and durum wheat in the western Canadian Prairies, from 2001 to 2012",2016,Agronomy Journal,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Carbon sequestration in managed temperate coniferous forests under climate change,2016,Biogeosciences,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Morphological and genetic analysis of sympatric dace within the Rhinichthys cataractae species complex: A case of isolation lost,2016,Biological Journal of the Linnean Society,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Recent failure to control sea louse outbreaks on salmon in the Broughton Archipelago, British Columbia",2016,Canadian Journal of Fisheries and Aquatic Sciences,in,"ancillary data source for new analysis (e.g., as base map)",,not sure of usage type,,,,,,,,,,,,,,,
Design and Implementation of a Spatial Database for the Abu Dhabi Municipality Geohazard Management System,2016,Geotechnical Special Publication,in,Providing study background,,,,,,,,,,,,,,,,,
The indochinese refugee movement and the subsequent evolution of UNHCR and canadian resettlement selection policies and practices,2016,Refuge,in,others,,,,,,,,,,,,,,,,,
"Acute care hospitalization of refugees to Canada: Linked data for immigrants from Poland, Vietnam and the Middle East",2016,Health Reports,in,Providing study background,,,,,,,,,,,,,,,,,
Impacts of land-use management on ecosystem services and biodiversity: An agent-based modelling approach,2016,PeerJ,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Comparative analysis of different survey methods for monitoring fish assemblages in coastal habitats,2016,PeerJ,in,Providing study background,,,,,,,,,,,,,,,,,
"Projected responses of North American grassland songbirds to climate change and habitat availability at their northern range limits in Alberta, Canada [R茅actions projet茅es de passereaux de prairie Nord-Am茅ricains aux changements climatiques et 脿 la disponibilit茅 de l鈥檋abitat 脿 la limite nord de leur aire en Alberta, Canada]",2016,Avian Conservation and Ecology,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Fire and flood expand the floodplain shifting habitat mosaic concept,2015,Freshwater Science,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Parasitism and food web dynamics of juvenile Pacific salmon,2015,Ecosphere,in,Providing study background,,,,,,,,,,,,,,,,,
One step ahead of the plow: Using cropland conversion risk to guide Sprague's Pipit conservation in the northern Great Plains,2015,Biological Conservation,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"A qualitative study of the current state of heart failure community care in Canada: What can we learn for the future? Organization, structure and delivery of healthcare",2015,BMC Health Services Research,in,Providing study background,,,,,,,,,,,,,,,,,
Witnessing extinction - Cumulative impacts across landscapes and the future loss of an evolutionarily significant unit of woodland caribou in Canada,2015,Biological Conservation,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Location is everything: Evaluating the effects of terrestrial and marine resource subsidies on an estuarine bivalve,2015,PLoS ONE,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Determining in situ periphyton community responses to nutrient and atrazine gradients via pigment analysis,2015,Science of the Total Environment,in,main data source for new analysis,,,,,,,,,,,,,,,,,
From earth and ocean: Investigating the importance of cross-ecosystem resource linkages to a mobile estuarine consumer,2014,Ecosphere,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Movers and shakers: Nutrient subsidies and benthic disturbance predict biofilm biomass and stable isotope signatures in coastal streams,2014,Freshwater Biology,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Lignocellulosic ethanol production from woody biomass: The impact of facility siting on competitiveness,2013,Energy Policy,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Tactical voting in plurality elections,2010,PLoS ONE,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Transforming barriers into enablers of action on climate change: Insights from three municipal case studies in British Columbia, Canada",2010,Global Environmental Change,in,Providing study background,,,,,,,,,,,,,,,,,
Immune Serum from Sabin Inactivated Poliovirus Vaccine Immunization Neutralizes Multiple Individual Wild and Vaccine-Derived Polioviruses,2017,Clinical Infectious Diseases,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Fast Searchable encryption with tunable locality,2017,Proceedings of the ACM SIGMOD International Conference on Management of Data,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Utility-aware ridesharing on road networks,2017,Proceedings of the ACM SIGMOD International Conference on Management of Data,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
"Assessing Spatial Relationships Between Rates of Crime and Rates of Gonorrhea and Chlamydia in Chicago, 2012",2017,Journal of Urban Health,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Enhancing the utility of anonymized data by improving the quality of generalization hierarchies,2017,Transactions on Data Privacy,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
"Fuzzy multiple criteria decision-making assessment of urban conservation in historic districts: Case study of Wenming Historic Block in Kunming City, China",2017,Journal of Urban Planning and Development,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Who cares about dirty beaches? Evaluating environmental awareness and action on coastal litter in Chile,2017,Ocean and Coastal Management,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Does suburbanization cause ecological deterioration? An empirical analysis of Shanghai, China",2017,Sustainability (Switzerland),in,Providing study background,,,,,,,,,,,,,,,,,
"HIV-1 infection and transmission networks of younger people in Chicago, Illinois, 2005-2011",2017,Public Health Reports,in,Providing study background,y,,,,,,,,,,,,,,,,
Investigating impacts of environmental factors on the cycling behavior of bicycle-sharing users,2017,Sustainability (Switzerland),in,main data source for new analysis,,,,,,,,,,,,,,,,,
